mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB-3917525523;Geforce gtx 1650 4gb gddr6 128bits - msi ventus d6 xs ocv3;Infoclub;Classic;R$ 1.323,00;R$ 1.323,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3917525523-geforce-gtx-1650-4gb-gddr6-128bits-msi-ventus-d6-xs-ocv3-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_978869-MLB77348009169_062024-E.webp
MLB-3635488111;Placa de vídeo nvidia galax 4gb gtx 1650 65sql8ds93e1;N/A;Classic;R$ 1.500,00;R$ 1.050,00;30% OFF;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3635488111-placa-de-video-nvidia-galax-4gb-gtx-1650-65sql8ds93e1-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_956698-MLB75327026373_032024-E.webp
MLB-3819863743;Placa de video msi geforce gtx 1650 4gb ventus xs ocv3;N/A;Classic;R$ 1.320,00;R$ 990,00;25% OFF;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3819863743-placa-de-video-msi-geforce-gtx-1650-4gb-ventus-xs-ocv3-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_997520-MLB78259852296_082024-E.webp
MLB-3725846335;Placa de vídeo nvidia gtx 1650 4gb ex plus gddr6 galax;N/A;Classic;R$ 1.250,00;R$ 1.250,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3725846335-placa-de-video-nvidia-gtx-1650-4gb-ex-plus-gddr6-galax-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_649821-MLB76640384716_062024-E.webp
MLB-4685470534;Placa de vídeo msi geforce gtx 1650 ventus xs ocv3 4gb d6;N/A;Classic;R$ 1.139,00;R$ 1.139,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4685470534-placa-de-video-msi-geforce-gtx-1650-ventus-xs-ocv3-4gb-d6-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_929044-MLU74217636883_012024-E.webp
MLB-3725798627;Placa de vídeo nvidia gtx 1650 4gb ex plus gddr6 galax;N/A;Classic;R$ 1.170,00;R$ 1.170,00;0%;em 12x R$113,20;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3725798627-placa-de-video-nvidia-gtx-1650-4gb-ex-plus-gddr6-galax-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_649821-MLB76640384716_062024-E.webp
MLB-3744601703;Placa de vídeo msi gtx 1650 d6 ventus xs ocv3, 4gb, gddr6;N/A;Premium;R$ 1.524,00;R$ 1.524,00;0%;em 10x R$152,49 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3744601703-placa-de-video-msi-gtx-1650-d6-ventus-xs-ocv3-4gb-gddr6-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_880575-MLB77065576103_062024-E.webp
MLB-3725769713;Placa de vídeo nvidia gtx 1650 4gb ex plus gddr6 galax;N/A;Classic;R$ 1.165,00;R$ 1.165,00;0%;em 12x R$112,73;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3725769713-placa-de-video-nvidia-gtx-1650-4gb-ex-plus-gddr6-galax-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_668381-MLB76841692581_062024-E.webp
MLB-3865118071;Placa de vídeo galax nvidia geforce gtx1650 4gb gddr6 65sql8;N/A;Classic;R$ 1.019,00;R$ 879,00;13% OFF;em 12x R$85,22;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3865118071-placa-de-video-galax-nvidia-geforce-gtx1650-4gb-gddr6-65sql8-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_957847-MLB79674168659_092024-E.webp
MLB-3740832716;Vga galax gtx 1650 4gb ddr6 128bits pcie - 65sql8ds93e1;N/A;Classic;R$ 899,00;R$ 899,90;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3740832716-vga-galax-gtx-1650-4gb-ddr6-128bits-pcie-65sql8ds93e1-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_953476-MLB70106588553_062023-E.webp
