url;title;price_previous;price_current;seller;seller_sales;qtd_available;scraped_at
https://produto.mercadolivre.com.br/MLB-5011547900-placa-de-video-rtx3050-6gb-gddr6-96bits-ventus-2x-oc-msi-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx3050 6gb Gddr6 96bits Ventus 2x Oc Msi;1.615;R$1.615,05;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:27
https://produto.mercadolivre.com.br/MLB-3632544509-placa-de-video-gainward-geforce-rtx-3050-pegasus-6gb-gddr6-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Gainward Geforce Rtx 3050 Pegasus 6gb Gddr6;1.656;R$1.656,98;Hdstore.com.br;Mercadolíder | +10mil vendas;+50 disponíveis;30/11/2024 00:25:27
https://produto.mercadolivre.com.br/MLB-5011416814-placa-de-video-rtx3050-6gb-gddr6-96bits-ventus-2x-oc-msi-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx3050 6gb Gddr6 96bits Ventus 2x Oc Msi;1.608;R$1.608,41;Bitboss.;Mercadolíder | +1000 vendas;2 disponíveis;30/11/2024 00:25:28
https://produto.mercadolivre.com.br/MLB-3632544517-placa-de-video-gainward-geforce-rtx-3050-pegasus-6gb-gddr6-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Gainward Geforce Rtx 3050 Pegasus 6gb Gddr6;1.884;R$1.884,55;Hdstore.com.br;Mercadolíder | +10mil vendas;+50 disponíveis;30/11/2024 00:25:29
https://produto.mercadolivre.com.br/MLB-4858939910-placa-de-video-rtx-3050-6gb-gddr6-pegasus-gainward-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx 3050 6gb Gddr6 Pegasus Gainward;1.727;R$1.727,78;Bitboss.;Mercadolíder | +1000 vendas;3 disponíveis;30/11/2024 00:25:29
https://produto.mercadolivre.com.br/MLB-3801424597-placa-de-video-zotac-nvidia-geforce-rtx-3050-6gb-gddr6-dlss-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Zotac Nvidia Geforce Rtx 3050 6gb Gddr6 Dlss;2.049;R$2.049,90;Lolist;+100mil vendas;Último disponível!;30/11/2024 00:25:30
https://produto.mercadolivre.com.br/MLB-5014176280-placa-de-video-rtx3050-6gb-gddr6-96bits-ventus-2x-oc-msi-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx3050 6gb Gddr6 96bits Ventus 2x Oc Msi;1.718;R$1.718,73;Bitboss.;Mercadolíder | +1000 vendas;2 disponíveis;30/11/2024 00:25:31
https://produto.mercadolivre.com.br/MLB-4704220860-placa-de-video-rtx-3050-6gb-gddr6x-96bits-dual-fan-asus-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx 3050 6gb Gddr6x 96bits Dual Fan Asus;1.713;R$1.713,40;Maddog;+1000 vendas;Último disponível!;30/11/2024 00:25:31
https://produto.mercadolivre.com.br/MLB-5011489312-placa-de-video-rtx3050-6gb-gddr6-96bits-ventus-2x-oc-msi-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx3050 6gb Gddr6 96bits Ventus 2x Oc Msi;1.726;R$1.726,31;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:32
https://produto.mercadolivre.com.br/MLB-4991759636-placa-video-msi-rtx-3050-oc-6gb-gddr6-96bits-912-v812-023-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa Vídeo Msi Rtx 3050 Oc 6gb Gddr6 96bits 912-v812-023;1.619;R$1.619;Sd.cominformaticapoa;+100 vendas;Último disponível!;30/11/2024 00:25:32
https://produto.mercadolivre.com.br/MLB-3826522709-placa-de-video-asus-dual-nvidia-rtx-3050-oc-6gb-gddr6-dlss-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Asus Dual Nvidia Rtx 3050 Oc 6gb Gddr6 Dlss;1.744;R$1.744,43;Lalligator shop;+5mil vendas;5 disponíveis;30/11/2024 00:25:33
https://produto.mercadolivre.com.br/MLB-3849970981-gpu-nvidia-geforce-rtx-3050-6gb-gddr6-96bits-pcyes-pvrtx3050-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Gpu Nvidia Geforce Rtx 3050 6gb Gddr6 96bits Pcyes Pvrtx3050;1.631;R$1.631,96;Ljaguara;+1000 vendas;+50 disponíveis;30/11/2024 00:25:34
https://produto.mercadolivre.com.br/MLB-5155393836-placa-de-video-geforce-rtx-3050-manli-6-gb-gddr6-dual-fan-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Geforce Rtx 3050 Manli 6 Gb Gddr6 Dual Fan;1.648;R$1.648;Efacini;Mercadolíder | +10mil vendas;5 disponíveis;30/11/2024 00:25:34
https://produto.mercadolivre.com.br/MLB-5072733902-placa-de-video-rtx-3050-6gb-lp-gddr6-96bits-zotac-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx 3050 6gb Lp Gddr6 96bits Zotac;1.766;R$1.766,69;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:35
https://produto.mercadolivre.com.br/MLB-4784191540-placa-de-video-msi-geforce-rtx-3050-oc-6gb-gddr6-96bits-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Msi Geforce Rtx 3050 Oc 6gb Gddr6 96bits;1.795;R$1.795,17;Hdstore.com.br;Mercadolíder | +10mil vendas;Último disponível!;30/11/2024 00:25:35
